dd_623,5/25/2007,10:21 a.m.
x,y,t
233.18,54.34,0.03
232.73,54.79,0.07
231.40,55.24,0.10
230.96,55.24,0.13
230.07,55.69,0.17
230.07,55.69,0.20
229.19,56.14,0.23
228.74,56.58,0.27
227.41,57.48,0.30
226.97,57.93,0.33
226.08,57.93,0.37
226.08,57.93,0.40
225.64,58.38,0.43
225.20,58.83,0.47
223.87,60.18,0.50
223.42,60.63,0.53
222.98,61.08,0.57
222.98,61.08,0.60
222.54,61.52,0.63
221.65,61.97,0.67
220.32,63.77,0.70
219.88,64.67,0.73
219.43,65.57,0.77
219.43,65.57,0.80
218.99,66.02,0.83
218.55,66.91,0.87
217.22,68.71,0.90
216.77,69.16,0.93
216.77,70.06,0.97
216.77,70.06,1.00
216.33,70.96,1.03
215.89,71.85,1.07
215.00,73.65,1.10
214.56,74.10,1.13
214.11,75.45,1.17
214.11,75.45,1.20
213.67,76.34,1.23
213.23,76.79,1.27
212.78,78.59,1.30
212.34,79.49,1.33
211.90,79.94,1.37
211.90,79.94,1.40
211.90,79.94,1.43
211.45,80.39,1.47
210.57,82.18,1.50
209.68,83.53,1.53
209.24,84.43,1.57
209.24,84.43,1.60
208.79,85.33,1.63
207.91,86.22,1.67
207.02,88.02,1.70
206.13,89.37,1.74
205.69,90.72,1.77
205.69,90.72,1.80
205.25,92.06,1.84
204.36,93.41,1.87
203.47,95.21,1.90
203.03,96.55,1.94
202.14,97.90,1.97
202.14,97.90,2.00
201.70,98.80,2.04
201.70,99.25,2.07
201.26,100.15,2.10
200.37,101.49,2.14
199.48,102.39,2.17
199.48,102.39,2.20
199.04,103.29,2.24
199.04,103.74,2.27
199.93,104.19,2.30
199.48,104.64,2.34
199.48,105.09,2.37
199.48,105.09,2.40
199.04,106.43,2.44
198.15,107.33,2.47
197.71,108.68,2.50
197.71,109.13,2.54
195.94,110.03,2.57
195.94,110.03,2.60
195.05,110.48,2.64
193.72,112.72,2.67
191.95,114.52,2.70
192.84,115.42,2.74
192.39,116.31,2.77
192.39,116.31,2.80
190.62,117.21,2.84
189.73,119.46,2.87
188.85,121.70,2.90
188.85,122.15,2.94
188.40,123.05,2.97
188.40,123.05,3.00
188.40,123.05,3.04
188.40,125.30,3.07
187.96,124.40,3.10
187.52,124.85,3.14
187.52,125.30,3.17
187.52,125.30,3.20
187.07,126.19,3.24
186.63,127.54,3.27
186.19,129.34,3.30
185.74,130.23,3.34
185.74,131.58,3.37
185.74,131.58,3.40
185.74,132.48,3.44
185.30,133.83,3.47